﻿Раздел;Название зала;Комплекс;Город;Страна;Регион;Вместимость;Архитектор;Акустический консультант;Открытие/сдача;Комментарий;Источник;Доп. источники;ФОТО;Статус
Музыкальные залы;Helen and Thomas Wu Performance Hall;Morrison Hall, UC Berkeley Department of Music;Беркли;США;Северная Америка;100;LPAS Architecture;н/д (система звукоусиления Meyer Sound);официальное открытие 16 марта 2025 (мягкий запуск — сентябрь 2024);"Бывшая лекционная аудитория в Morrison Hall переоборудована в интимный концертный зал на 100 мест за $3 млн для вокальных и камерных концертов; акустика описана как «безупречная».";https://www.sfchronicle.com/bayarea/article/uc-berkeley-concert-hall-20215893.php;https://lpas.com/portfolio/uc-berkeley-wu-performance-hall-renovation/;;не проверен
Музыкальные залы;Sala Organowa;Kampus Akademii Muzycznej im. Feliksa Nowowiejskiego;Быдгощ;Польша;Европа;71;plus3-architekci (Katarzyna Głażewska, Krzysztof Bagiński);ewkAkustika (Ewa Więckowska-Kosmala);30 сентября 2025;Небольшой органный зал кампуса, самый малый из четырёх залов.;https://www.rigips.pl/obiekty-referencyjne/sport-kultura/kampus-akademii-muzycznej;;;не проверен
Музыкальные залы;Thomas Tull Concert Hall (уточнение по данным Architectural Record/MIT Technology Review);Edward and Joyce Linde Music Building, MIT;Кембридж, Массачусетс;США;Северная Америка;н/д (круглый зал высотой потолка 15 м/50 футов);SANAA (Kazuyo Sejima, Ryue Nishizawa);Nagata Acoustics;публичное открытие 15 февраля 2025;"ДОПОЛНЕНИЕ к уже собранному объекту 'Thomas Tull Hall': круглый зал с потолком высотой 15 м, акустика которого может перенастраиваться под разные типы выступлений; здание — четвёртый проект SANAA в США.";https://www.architecturalrecord.com/articles/17306-at-mit-sanaa-shapes-a-music-building-among-midcentury-icons-with-respectful-irreverence;https://www.technologyreview.com/2025/08/26/1120984/reimagining-sound-and-space/;;не проверен
Музыкальные залы;Thomas Tull Hall (в составе Edward and Joyce Linde Music Building);Edward and Joyce Linde Music Building (MIT);Кембридж (Массачусетс);США;Северная Америка;н/д (камерный круглый зал, потолок высотой 15 м/50 футов);SANAA (Kazuyo Sejima, Ryue Nishizawa);Nagata Acoustics;"15 февраля 2025 (публичное открытие); торжественный концерт Sonic Jubilance — 15 апреля 2025";Круглый концертный зал с настраиваемой (переменной) акустикой внутри нового музыкального корпуса MIT — первого здания института, целиком посвящённого музыке.;https://news.mit.edu/2025/edward-joyce-linde-music-building-opens-sonic-jubilance-0416;https://capitalprojects.mit.edu/projects/music-building;;не проверен
Музыкальные залы;McCusker Recital Hall;ECU City / Western Australian Academy of Performing Arts (WAAPA);Перт;Австралия;Океания;н/д;Haworth Tompkins совместно с Lyons и Silver Thomas Hanley Architects;Marshall Day Acoustics;"20 марта 2025 (открытие); кампус завершён к концу 2025";Камерный концертный зал новой вертикальной консерватории WAAPA в центре Перта, один из восьми специализированных залов кампуса с индивидуально настроенной акустикой.;https://www.ecu.edu.au/newsroom/articles/campus-and-community/a-truly-special-occasion-ecu-marks-milestone-moment-for-philanthropy-at-new-city-campus;https://www.linkedin.com/posts/marshall-day-acoustics_congratulations-to-haworth-tompkins-and-the-activity-7483369838036525056-jxVW;;не проверен
Музыкальные залы;Auditorio del Conservatorio Municipal Julián Orbón;Conservatorio Municipal Julián Orbón de Avilés (antiguo edificio de Correos);Авилес (Avilés);Испания;Европа;н/д;Julián Redondo (при участии Andrea del Cueto);н/д;апрель 2025 (функционирует с 23 апреля, торжественное открытие 30 апреля 2025);"Полная реконструкция здания бывшей почты под консерваторию; все помещения кроме аудиторио получили естественное освещение.";https://www.elcomercio.es/aviles/inauguracion-musical-conservatorio-aviles-20250430204328-nt.html;;;не проверен
Музыкальные залы;Kameralna sala koncertowa ULO;Uniwersyteckie Liceum Ogólnokształcące im. Pawła Adamowicza;Гданьск;Польша;Европа;н/д (камерный зал);н/д;н/д;13 мая 2025;Камерный застеклённый зал переоборудован из школьной столовой и склада за 4 месяца, стал новым культурным центром района Вжещ.;https://www.zawszepomorze.pl/artykul/19666,nowa-sala-koncertowa-we-wrzeszczu-muzyczna-przestrzen-dla-mieszkancow-gdanska;;;не проверен
Музыкальные залы;McNeely Music School (перформанс-фойе);McNeely Music School;Уайт-Беар-Лейк;США;Северная Америка;н/д;MSR Architects;Threshold Acoustics;2025 (завершено);Компактная музыкальная школа (63 000 кв. футов), где фойе с волнистым деревянным потолком служит одновременно исполнительским и записывающим пространством с акустической диффузией.;https://threshold.llc/mcneely;;;не проверен
Музыкальные залы;Marshall Livehouse Bangkok;н/д (отдельное 4-этажное здание на Charoenkrung Road);Бангкок;Таиланд;Азия;н/д (малый концертный зал/сцена на 1-м этаже + студии для репетиций);н/д;н/д;14 августа 2025;Первый в мире live-house под брендом Marshall: сцена и бар, винтажный listening-bar, репетиционные студии и ивент-пространство в историческом квартале Charoenkrung.;https://group.marshall.com/2025/08/14/marshall-livehouse-bangkok-opens-a-new-home-for-music-and-culture-in-southeast-asia/;;;не проверен
Музыкальные залы;Klanghaus Toggenburg;н/д;Унтервассер (Вильдхаус-Альт-Санкт-Йохан);Швейцария;Европа;н/д (4 разных «звуковых» зала + 2 открытые сцены);Staufer & Hasler Architekten (с Meili, Peter & Partner Architekten);"Raumakustik: Kuster + Partner AG (ранее Applied Acoustics GmbH); звуковое искусство — Andres Bosshard";май.25;«Проходной музыкальный инструмент» из дерева с 100 000 гонтовых пластин, без прямых углов — форма и материалы служат акустике здания.;https://www.swiss-arc.ch/de/projekt/klanghaus-toggenburg/13226061;;;не проверен
Лекционные залы;Dev & Vardhana Goswami Lecture Hall Complex;IIT (BHU);Варанаси;Индия;Азия;1850;н/д;н/д (упоминается «advanced acoustics» без указания консультанта);14 июля 2025;Трёхэтажный лекционный комплекс на 1850 мест, построен на пожертвование выпускника Дева Госвами (1,6 млн $), смарт-доски и Wi-Fi во всех залах.;https://www.iitbhufoundation.org/a-new-era-of-learning-begins-iit-bhu-inaugurates-the-dev-vardhana-goswami-lecture-hall-complex/;;;не проверен
Лекционные залы;Lecture theatre, Ray Dolby Centre (Cavendish Laboratory);Ray Dolby Centre, University of Cambridge;Кембридж;Великобритания;Европа;400;Jestico + Whiles (совместно с NBBJ и BDP);Ramboll (Civil, Structural and Vibration Engineer, Fire Engineer, Acoustic Consultant);9 мая 2025 (официальное открытие);Лекционный зал на 400 мест в новом здании физического факультета Кавендишской лаборатории (32 900 кв.м), возведённом Bouygues UK.;https://www.bdonline.co.uk/news/jestico--whiles-completes-ray-dolby-centre-for-university-of-cambridge/5135883.article;https://www.cfci.org.uk/awards/awards-winners/2026-awards/ray-dolby-centre/;;не проверен
Лекционные залы;Deux amphithéâtres (320 places chacun);École d'Ingénieurs de Purpan;Тулуза;Франция;Европа;320 (х2 зала);Cabinet Archéa Architectes;н/д;1 сентября 2025;Новое здание инженерной школы Пурпан (2700 кв.м, инвестиции 8 млн €) с двумя лекционными амфитеатрами по 320 мест каждый.;https://actu.fr/occitanie/toulouse_31555/toulouse-cette-ecole-d-ingenieurs-s-offre-un-immense-batiment-a-plusieurs-millions-d-euros-voici-son-design_63101122.html;"https://www.purpan.fr/wp-content/uploads/2025/01/CP-NouveauBatiment_2024-04-22.pdf ; https://www.lejournaldesentreprises.com/breve/lecole-dingenieurs-de-purpan-investit-8-millions-deuros-dans-la-construction-dun-nouveau-batiment-2094536";;не проверен
Лекционные залы;Virtuosi Hall;Feng Chia University, Shui-Nan Campus;Тайчжун;Тайвань;Азия;300 (лекционный амфитеатр) + 200 (многофункциональный зал);Kengo Kuma & Associates;Shang You Construction (акустические измерения и настройка звукового поля Birthday Hall, совместно с Perception Lab архитектурного факультета Feng Chia University);16 февраля 2025;"Крупнейший строительный проект в истории университета: лекционный амфитеатр на 300 мест с онлайн-трансляцией и второй гибкий зал на 200 мест; фасад из 4900 деревянных решёток из кипариса и 1750 стеклянных панелей.";https://personnel.fcu.edu.tw/en/news-detail/?id=43525;"https://www.shangyou-construction.com/en/news/1/11 ; https://virtuosi.fcu.edu.tw/%e5%a0%b4%e5%9c%b0%e4%bb%8b%e7%b4%b9/";;не проверен
Лекционные залы;Зал истории Третьяковской галереи и лекционно-кинозал;Филиал Государственной Третьяковской галереи на острове Октябрьский;Калининград;Россия;Россия и СНГ;276;"архитектурное бюро «Меганом» (проект здания); документация — WildTeam";н/д;12 июня 2025;Внутри здания с 50-метровой башней размещены выставочные залы, библиотека, атриум и зал для лекций и кинопоказов на 276 мест.;https://companies.rbc.ru/news/jQR3DwOJo7/filial-tretyakovki-v-kaliningrade-realizovan-po-proektu-wildteam/;"https://companies.rbc.ru/news/jQR3DwOJo7/filial-tretyakovki-v-kaliningrade-realizovan-po-proektu-wildteam/; https://kaliningrad.tretyakovgallery.ru/cinema/ — кинозал описан как оснащённый «акустическими системами объёмного звука», однако именованный акустический консультант не найден";;не проверен
Лекционные залы;Neuer Hörsaal (multifunktionaler Hörsaal für 250 Studierende);WU Wien (Wirtschaftsuniversität Wien), Campus WU;Вена;Австрия;Европа;250;н/д (реконструкция существующего помещения);н/д;23 сентября 2025;Многофункциональная аудитория среднего размера, закрывшая разрыв между большим Audimax (650 мест) и малыми аудиториями (до 180 мест) на кампусе WU.;https://www.wu.ac.at/en/press/press-releases/press-releases-details/detail/schnell-kosteneffizient-nachhaltig-wu-eroeffnet-multifunktionalen-hoersaal-fuer-250-studierende;;;не проверен
Лекционные залы;Carré Janson (модульный аудиториум на 250 мест);Smart Center Tournai;Турне;Бельгия;Европа;250;TANK Architectes (Франция);Kahle Acoustics (Yann Jurkiewicz, Émilie Carayol, Vincent Berrier);авг.25;"Реконструкция исторического комплекса (бывшая резиденция священников) у собора Турне в туристическо-технологический центр; трансформируемый амфитеатр-аудиториум на 250 мест отделён многослойным акустическим занавесом.";https://kahle-acoustics.com/fr/ref/smartCenterTournai-.html;;;не проверен
Лекционные залы;250-местный лекционный театр (250-seat theatre for lectures and drama);Schwarzman Centre for the Humanities, University of Oxford;Оксфорд;Великобритания;Европа;250;Hopkins Architects;н/д;"1 октября 2025 (здание открыто; студенческие постановки — с осени 2026)";Часть крупнейшего в истории Оксфорда единого строительного проекта (£185 млн), выполнен по стандарту Passivhaus.;https://cherwell.org/2025/10/01/oxford-schwarzman-centre-opens/;;;не проверен
Лекционные залы;Amphithéâtres du Campus des Groues (225 et 125 places);Campus des Groues, Groupe IGENSIA Education;Нантер;Франция;Европа;225 + 125;A26 (Marc Seifert), Atelier MBE;н/д;янв.25;Крупнейший во Франции кампус, посвящённый альтернансу (apprentissage), два амфитеатра в 8-этажном здании 10500 кв.м.;https://chroniques-architecture.com/a-nanterre-campus-des-groues-par-a26-et-mbe/;;;не проверен
Лекционные залы;Амфитеатр кампуса ESSCA (218 мест);Campus ESSCA Aix-en-Provence;Экс-ан-Прованс;Франция;Европа;218;Rougerie+Tangram (с Agnès Paul);Venatech;9 октября 2025 (сдан июнь 2025);Фасады со шёлкографией по мотивам живописи Сезанна и горы Сент-Виктуар, три объёма из 5589 кв.м.;https://chroniques-architecture.com/a-aix-en-provence-rougerietangram-fait-lessca/;;;не проверен
Лекционные залы;Gurley Forum (лекционный зал);Miller Campus, Santa Fe Institute;Тесуке (Нью-Мексико);США;Северная Америка;200;Thomas Easterson-Bond (штатный архитектор SFI);н/д;30 апреля 2025;Крупнейшее переговорно-лекционное пространство института сложных систем, стальная консольная терраса над прудом, панорама на горы Сангре-де-Кристо.;https://www.santafe.edu/news-center/news/sfi-opens-new-lecture-hall-at-miller-campus;;;не проверен
Лекционные залы;Amphithéâtre (200 places), nouveau campus Excelia Tours;Excelia Group, Campus de Tours;Тур;Франция;Европа;200;Mu Architecture (Ludovic Malbet, Charles Bouchaïb);н/д;10 сентября 2025;Новое пятиэтажное здание кампуса (5300 кв.м) бизнес-школы Excelia с амфитеатром на 200 мест и модульными подключёнными аудиториями.;https://education.newstank.fr/article/view/411259/excelia-nouveau-campus-tours-5300-m2-1500-etudiants-vises-rentree-2026-20.html;"https://www.excelia-group.com/about-excelia/news-room/news/new-tours-campus-a-place-to-live-and-learn ; https://divisare.com/projects/540605-mu-architecture-charles-bouchaib-excelia-university-campus";;не проверен
Лекционные залы;Auditorium, University of Limerick Student Centre;University of Limerick Student Centre;Лимерик;Ирландия;Европа;173;Cotter & Naessens Architects;Theatreplan (театральное планирование и техническая консультация);2025;Многофункциональная аудитория с раздвижными трибунами и стационарным балконом, отделка бетоном и дубом, трансформируется в перформанс-зал с блэкаут-шторами.;https://theatreplan.com/projects/university-of-limerick-student-centre;;;не проверен
Лекционные залы;Amphithéâtre 0;Campus Saint Jean d'Angély, Université Côte d'Azur;Ницца;Франция;Европа;94;Cabinet d'Architecture Jean-Paul Gomis et Associés (Nice);н/д;6 октября 2025;"Новый амфитеатр создан из бывшего закрытого с 2018 года прохода к парвизу кампуса; экран с USB-C подключением, эргономичные кресла с розетками.";https://univ-cotedazur.fr/medias/fichier/cp-061025-inauguration-amphi-0-sja_1759935023000-pdf;"https://www.jpgomis.com/architectures/nice-park/ ; https://www.silvera.fr/blog/articles/campus-saint-jean-d-angely-nice";;не проверен
Лекционные залы;Lecture halls, Life and Mind Building;University of Oxford;Оксфорд;Великобритания;Европа;н/д;NBBJ;н/д;ноябрь 2025 (завершено);Лекционные залы встроены в новое здание биологии и экспериментальной психологии (25000 кв.м) с фасадом из волнистых каменных панелей в форме мозговой волны.;https://www.dezeen.com/2025/11/21/nbbj-oxford-life-mind-building/;;;не проверен
Лекционные залы;Lecture hall / gallery, Anthony Timberlands Center for Design and Materials Innovation;Fay Jones School of Architecture and Design, University of Arkansas;Файетвилл;США;Северная Америка;н/д;Grafton Architects, Modus Studio;н/д;окт.25;Лекционный зал-галерея на верхнем уровне первого деревянного (mass-timber) здания Grafton Architects в США, со стеклянными окнами в мастерскую этажом ниже.;https://www.dezeen.com/2025/10/09/anthony-timberlands-center-grafton-architects/;;;не проверен
Лекционные залы;Amphi Jean Jouzel (amphi D, bâtiment 2A);Campus de Beaulieu, Université de Rennes;Ренн;Франция;Европа;н/д;н/д;н/д;10 октября 2025;Аудитория переименована и торжественно открыта в честь климатолога Жана Жузеля, лауреата Нобелевской премии мира 2007 года в составе МГЭИК.;https://oseren.univ-rennes.fr/actualites/inauguration-amphi-jean-jouzel-universite-de-rennes;;;не проверен
Выставочные залы;Grand Egyptian Museum (галереи постоянной экспозиции);Grand Egyptian Museum, плато Гиза;Гиза;Египет;Африка;81000 кв.м общей площади, участок 500000 кв.м;"Heneghan Peng Architects (с Arup и Buro Happold); ландшафт West 8";WSDG (Walters-Storyk Design Group);1 ноября 2025 (полное открытие);"Крупнейший в мире музей, посвящённый одной цивилизации; облицован триангулированными панелями алебастра, известняка и стекла, с видом на пирамиды.";https://www.archdaily.com/1035595/the-grand-egyptian-museum-fully-opens-completing-gizas-new-cultural-landmark;https://wsdg.com/projects-items/grand-egyptian-museum/;;не проверен
Выставочные залы;Suzhou Museum of Contemporary Art (苏州当代美术馆);Jinji Lake Right Bank;Сучжоу;Китай;Азия;около 10600-11300 кв.м выставочной площади (общая площадь около 58800-59500 кв.м);BIG (Bjarke Ingels Group) с ARTS Group и Front Inc;н/д;"август 2025 (сдан после итоговой приёмки); публичное открытие анонсировано на 2026";"12 павильонов под единой волнистой кровлей, вдохновлённой черепичными карнизами классических садов Сучжоу; включает 4 главных выставочных зала.";https://english.suzhou.gov.cn/szsenglish/News/202508/b2ea5b22c23142bd9bb532f855407b59.shtml;"https://big.dk/projects/suzhou-museum-of-contemporary-art-18410 ; https://www.archdaily.com/1035969/suzhou-museum-of-contemporary-art-big — акустического консультанта в credits не указано, найден только поставщик звукового оборудования (Meyer Sound/Yamaha) по тендеру, не консультант";;не проверен
Выставочные залы;Natural History Museum Abu Dhabi;Saadiyat Cultural District;Абу-Даби;ОАЭ;Ближний Восток;более 35000 кв.м общей площади;Mecanoo;н/д;22 ноября 2025;"Пятиугольная геометрия отсылает к клеточным структурам; экспозиция посвящена 13,8 млрд лет естественной истории с акцентом на Аравийский регион.";https://www.archdaily.com/1036303/mecanoos-natural-history-museum-opens-in-abu-dhabis-saadiyat-cultural-district;;;не проверен
Выставочные залы;teamLab Phenomena Abu Dhabi;Saadiyat Cultural District;Абу-Даби;ОАЭ;Ближний Восток;17000 кв.м мультисенсорного пространства;teamLab Architects (внутренние объёмы), фасад — MZ Architects;AESG;18 апреля 2025;Музей без коллекции: экспонаты создаются самой средой (свет, вода, зеркала) по концепции 'Environmental Phenomena'.;https://www.theartnewspaper.com/2025/04/16/teamlab-vast-interactive-art-museum-opens-abu-dhabi;https://www.linkedin.com/posts/daniel-harrison-9a233627_aesgs-acoustics-team-recently-took-some-activity-7346825574264233984-sr_z;;не проверен
Выставочные залы;FENIX Museum of Migration;склад San Francisco Warehouse, Katendrecht;Роттердам;Нидерланды;Европа;16000 кв.м;MAD Architects (Ma Yansong), реставрация — Bureau Polderman;LBP|Sight;16 мая 2025;Первый культурный проект MAD в Европе: двойная спиральная лестница «Торнадо» прорастает сквозь кровлю столетнего склада на смотровую площадку.;https://www.dezeen.com/2025/05/14/mad-fenix-museum-rotterdam/;https://www.lbpsight.nl/projecten/kunstmuseum-fenix-rotterdam/ (LBP|SIGHT adviseerde over brandveiligheid, bouwfysica en bouwakoestiek);;не проверен
Выставочные залы;Princeton University Art Museum (новое здание);Princeton University;Принстон, Нью-Джерси;США;Северная Америка;13563 кв.м (146000 кв.футов);Adjaye Associates;Trinity Consultants;31 октября 2025;"Девять павильонов-«бункеров» из зубчатого сборного бетона с крупным заполнителем на срезанных углах; первый крупный проект Дэвида Аджайе после скандала.";https://www.dezeen.com/2025/10/31/adjaye-associates-princeton-university-art-museum/;https://trinityconsultants.com/featured-projects/princeton-university-art-museum-case-study/;;не проверен
Выставочные залы;Художественный музей Института китайской скульптуры (Art Museum of the China Sculpture Institute / 中国雕塑学会艺术馆);Sculpture Park, Shenshan Park;Уху;Китай;Азия;10370 кв.м площади (адаптивное переустройство бывшей теплицы);CVA Design (Beijing China Virtue Architectural Design), гл. арх. Chunli Zhang;н/д;2025 (завершение строительства, торжественное открытие с выставкой апрель 2026);"Реконструкция заброшенной оранжереи в парке скульптур; экспозиция разбита на пять тематических зон по системе стихий У-син.";https://www.archdaily.com/1037731/art-museum-of-the-china-sculpture-institute-cva-design;;photos/Art Museum of The China;ОК
Выставочные залы;Capital International Exhibition & Convention Centre (CIECC);CIECC, район Шуньи;Пекин;Китай;Азия;9 выставочных залов, конференц-центр на 9000 делегатов, свыше 611000 кв.м;Zaha Hadid Architects;н/д;фев.25;"Крупнейший и самый современный выставочно-конгрессный комплекс Пекина; медно-цветной фасад из 'лент', соединённых мостами-переходами между залами и отелем.";https://www.designboom.com/architecture/zaha-hadid-beijing-convention-center-copper-ciecc-china-02-21-2025/;"https://www.archdaily.com/1027243/captial-international-exhibition-and-convention-center-zaha-hadid-architects ; https://www.zha.com/projects/architecture/capital-international-exhibition-convention-centre — в опубликованных credits акустик не значится (указаны только структурные/MEP/транспорт/ландшафт консультанты)";;не проверен
Выставочные залы;Fondation Cartier pour l'art contemporain (новое здание);2 Place du Palais-Royal;Париж;Франция;Европа;8500 кв.м выставочного пространства;Jean Nouvel;AVEL Acoustique;25 октября 2025;"Переезд фонда в османовское здание бывшего универмага Grands Magasins du Louvre; пять подвижных этажей позволяют перестраивать экспозиционную конфигурацию.";https://www.dezeen.com/2025/10/21/fondation-cartier-museum-jean-nouvel/;https://ifdm.design/2026/02/07/a-museum-machine-for-the-fondation-cartier/ (Data sheet: Acoustic engineering: AVEL Acoustique);;не проверен
Выставочные залы;Dib Bangkok;н/д;Бангкок;Таиланд;Азия;около 7000 кв.м (132000 кв.футов участка);Kulapat Yantrasast / WHY Architecture;н/д;21 декабря 2025;"Первый в Таиланде музей, полностью посвящённый международному современному искусству; переоборудованный склад 1980-х годов с пилообразной кровлей и конической галереей у водного элемента.";https://news.artprice.com/en/12635/dib-bangkok-museum-the-new-contemporary-art-museum-transforming-bangkok-into-a-cultural-hub-in-southeast-asia;"https://www.a49.com/Projects/view/1202 ; https://dibbangkok.org/building ; https://www.archpaper.com/2026/01/why-architecture-dib-bangkok/ — акустический консультант в опубликованных credits не найден";;не проверен
Выставочные залы;Lawh Wa Qalam: M. F. Husain Museum;Education City, Qatar Foundation;Доха;Катар;Ближний Восток;более 3000 кв.м, свыше 150 экспонатов;Martand Khosla;н/д;28 ноября 2025;"Первый в мире музей, посвящённый художнику М.Ф. Хусейну; здание из геометрических объёмов основано на эскизе, который сделал сам художник.";https://www.dezeen.com/2025/12/03/lawh-wa-qalam-m-f-husain-museum-martand-khosla/;"https://www.dezeen.com/2025/12/03/lawh-wa-qalam-m-f-husain-museum-martand-khosla/ ; https://lawhwaqalam.org.qa/museum/";;не проверен
Выставочные залы;Zayed National Museum;Saadiyat Cultural District;Абу-Даби;ОАЭ;Ближний Восток;6 постоянных галерей, более 1500 экспонатов;Foster + Partners;RMP;3 декабря 2025;Пять стальных башен-«крыльев сокола» высотой до 123 м работают как термальные дымоходы для пассивного охлаждения.;https://www.prnewswire.com/news-releases/zayed-national-museum-is-open-to-the-public-in-abu-dhabi-302632228.html;https://rmp.biz/portfolio-posts/zayed-museum/;;не проверен
Выставочные залы;Xiao Feng Art Museum (肖峰美术馆);н/д;Ханчжоу;Китай;Азия;1298 кв.м;ZAO/standardarchitecture;н/д;2025;"Музей памяти художников Сяо Фэна и Сун Жэнь; угловатый бетонный объём петлёй огибает центральный двор по образцу китайских садов учёных.";https://www.dezeen.com/2025/12/22/zao-standardarchitecture-xiao-feng-art-museum/;"https://www.dezeen.com/2025/12/22/zao-standardarchitecture-xiao-feng-art-museum/ ; https://www.archdaily.com/1035415/xiao-feng-art-museum-zao-zhang-ke-architecture-office";;не проверен
Выставочные залы;Neues Kunstmuseum Tübingen (NKT);территория галереи Art 28;Тюбинген;Германия;Европа;"1200 кв.м чистой выставочной площади (нетто); также кинозал на ~50 мест";н/д (частный заказчик Бернхард Файль, галерея Art 28);н/д;8 марта 2025;"Новый частный музей построен всего за 14 месяцев; гибридная конструкция из дерева, стали и бетона, открылся выставкой Удо Линденберга, собравшей около 60000 посетителей.";https://www.halbe-rahmen.de/magazin/en/museumsneubau-tuebingen/;"https://www.reutlingen.ihk.de/firmennachrichten/nachricht/neues-kunstmuseum-tuebingen/ ; https://sonderthemen.swp.de/advertorials/neues-kunstmuseum-tuebingen-museums-und-ausstellungseroeffnung-74894/hechingen/architektur-zwischen-kunst-und-wissenschaft-231835";;не проверен
Выставочные залы;V&A East Storehouse;East Bank, Queen Elizabeth Olympic Park;Лондон;Великобритания;Европа;хранение и показ 250000 предметов, 350000 книг, 1000 архивов;Diller Scofidio + Renfro;Arup;2025;Открытое для публики рабочее хранилище музея V&A в переоборудованном ангаре Олимпийского вещательного центра 2012 года, с 20-метровым центральным залом.;https://www.dezeen.com/2025/12/05/top-museums-galleries-2025/;https://www.arup.com/en-us/projects/va-east-storehouse/ (см. раздел 'Services used': Acoustic consulting);;не проверен
Выставочные залы;Национальный выставочно-конгрессный центр (Kim Quy / Золотая черепаха);National Exhibition and Convention Center, Донг Ань;Ханой;Вьетнам;Азия;около 90 гектаров территории (один из крупнейших выставочных центров мира);н/д;н/д;19 августа 2025;"Крупнейший выставочный центр Юго-Восточной Азии; главный павильон 'Ким Куй' выполнен в форме золотой черепахи — священного животного во вьетнамской мифологии.";https://www.vietnam.vn/en/dong-luc-moi-tu-trung-tam-hoi-cho-trien-lam-quoc-gia;"https://vietnamnews.vn/society/1725509/national-exposition-centre-officially-inagurated.html ; https://vietnamnet.vn/en/vietnam-builds-world-s-largest-steel-dome-in-record-time-2431550.html — архитектор проекта (авторское бюро) и акустический консультант в открытых источниках не названы; известны только застройщик (Vingroup) и подрядчик стальных конструкций (Đại Dũng Corporation)";;не проверен
Выставочные залы;Малый выставочный зал «Дорога к Победе»;Минский международный выставочный центр BELEXPO;Минск;Беларусь;Россия и СНГ;н/д;ООО «Эркер групп» (ОАЭ-инвестор, генпроектировщик комплекса BELEXPO);н/д;8 мая 2025;"Первая универсальная конгрессно-выставочная площадка Беларуси, открыта к 80-летию Победы; постоянная экспозиция посвящена военной истории.";https://www.belexpo.by/media-tsentr/novosti/minskiy-mezhdunarodnyy-vystavochnyy-tsentr-belexpo-otkryt.html;"https://realt.onliner.by/2025/05/17/1023582 (архитекторы из компании ООО «Эркер групп»); площадь/вместимость именно малого выставочного зала «Дорога к Победе» и акустик в открытых источниках не найдены — оставлено н/д";;не проверен
Выставочные залы;Выставочные залы филиала Третьяковской галереи;Филиал Государственной Третьяковской галереи на острове Октябрьский;Калининград;Россия;Россия и СНГ;н/д;"архитектурное бюро «Меганом»; дизайн экспозиции — Юлия Наполова / бюро PSCulture";н/д;12 июня 2025;"Первая экспозиция «Пять веков русского искусства» — около 300 произведений из московского собрания; выставочные залы с естественным освещением и климат-контролем.";https://aindexproject.com/arhitektura-postoyannoj-ekspoziczii-gosudarstvennoj-tretyakovskoj-galerei-v-kaliningrade-vzglyad-iznutri/;"https://companies.rbc.ru/news/jQR3DwOJo7/filial-tretyakovki-v-kaliningrade-realizovan-po-proektu-wildteam/ — архитектурная концепция Меганом, конструктив/BIM WildTeam; акустический консультант выставочных залов не найден; для музейных экспозиционных пространств акустический консультант обычно не привлекается";;не проверен
Выставочные залы;Calder Gardens;н/д;Филадельфия;США;Северная Америка;подземные галереи (площадь не указана в источнике);"Herzog & de Meuron; ландшафт — Piet Oudolf";Metropolitan Acoustics;сен.25;Институция, посвящённая скульптору Александеру Колдеру: подземные галереи раскрыты бетонным разрезом в холме и круглым световым фонарём, окружены садом Пита Удольфа.;https://www.dezeen.com/2025/09/16/herzog-de-meuron-piet-oudolf-calder-gardens-philadelphia-completion/;"https://www.archdaily.com/1034362/calder-gardens-museum-herzog-and-de-meuron ; https://metro-acoustics.com/projects/calder-gardens/";;не проверен
Выставочные залы;Taichung Art Museum (Taichung Green Museumbrary);Taichung Green Museumbrary;Тайчжун;Тайвань;Азия;н/д (8 кубических объёмов музея и библиотеки);SANAA, с местным бюро Ricky Liu & Associates;н/д;13 декабря 2025;"Крупнейшее на сегодняшний день культурное здание SANAA; восемь кубов музея и библиотеки соединены извилистыми переходами и укутаны алюминиевой сеткой.";https://www.archdaily.com/1034405/sanaa-unveils-images-of-the-design-for-taichung-art-museum-and-library-complex-in-taiwan;"https://www.e-architect.com/taiwan/taichung-green-museumbrary ; https://cdn.archilovers.com/projects/82d3c7d7-8c7c-4b02-9280-78a99c43c0a9.pdf — акустик не указан в доступных пресс-материалах";;не проверен
Выставочные залы;Taichung Green Museumbrary (台中綠美圖);Taichung Green Museumbrary (совмещённые художественный музей и центральная библиотека);Тайчжун;Тайвань;Азия;н/д (площадь и выставочные залы, посадочных мест как в театре нет);SANAA (Kazuyo Sejima & Ryue Nishizawa);н/д;13 декабря 2025;Совмещённое здание художественного музея и центральной библиотеки от лауреатов Притцкеровской премии SANAA, новая доминанта района Шуйнань, проектировалось с 2019 года.;https://www.ctee.com.tw/news/20251213700706-430503;"https://tgm.taichung.gov.tw/; https://www.rdec.taichung.gov.tw/media/1232167/... — акустический консультант для аудитории/演講廳 не упомянут в доступных источниках";;не проверен
Кинозалы;Синема Санщайн Мисато;торговый центр Super Viva Home Misato;Мисато, преф. Сайтама;Япония;Азия;2481 (12 залов);н/д;звуковой дизайн — Йосикадзу Ивами (Miwa Iwanami), премиальный зал solaシアター;11 июля 2025;Крупный мультиплекс с новейшей RGB 4K-лазерной проекцией, форматом BESTIA (Dolby Atmos) и премиальным звуковым залом solaシアター, разработанным звукорежиссёром Йосикадзу Ивами.;https://prtimes.jp/main/html/rd/p/000000013.000024925.html;;;не проверен
